timestamp|site|scenario|bot_id|event_type|attempt_number|global_index|question_uid
2026-03-19 12:54:17|claude|sonnet|3|RESTART||301|070e12e3-6ca0-412a-aa95-de67231d70dd
2026-03-19 12:54:26|claude|sonnet|4|RESTART||313|b2031442-bd73-43ee-80e1-0be58ba96bc8
2026-03-19 12:56:01|claude|sonnet|3|RESTART||301|070e12e3-6ca0-412a-aa95-de67231d70dd
2026-03-19 12:56:11|claude|sonnet|4|RESTART||313|b2031442-bd73-43ee-80e1-0be58ba96bc8
2026-03-19 12:56:19|claude|sonnet|5|RESTART||326|5918d81c-0a3b-4cba-b0d0-75f53973f830
2026-03-19 12:56:28|claude|sonnet|6|RESTART||339|e038bd41-02d5-4392-bf3f-481987301848
2026-03-19 12:57:07|claude|sonnet|3|QUESTION_SENT||301|070e12e3-6ca0-412a-aa95-de67231d70dd
2026-03-19 12:57:12|claude|sonnet|4|QUESTION_SENT||313|b2031442-bd73-43ee-80e1-0be58ba96bc8
2026-03-19 12:57:43|claude|sonnet|6|QUESTION_SENT||339|e038bd41-02d5-4392-bf3f-481987301848
2026-03-19 12:58:00|claude|sonnet|5|QUESTION_SENT||326|5918d81c-0a3b-4cba-b0d0-75f53973f830
2026-03-19 13:02:44|claude|sonnet|3|JSON_VERIFIED||301|070e12e3-6ca0-412a-aa95-de67231d70dd
2026-03-19 13:02:44|claude|sonnet|3|QUESTION|1|301|070e12e3-6ca0-412a-aa95-de67231d70dd
2026-03-19 13:02:44|claude|sonnet|3|JSON_SAVED||301|070e12e3-6ca0-412a-aa95-de67231d70dd
2026-03-19 13:02:44|claude|sonnet|3|QUESTION_ADVANCE||302|981fcaf0-8294-4d2b-925f-e83b83e41aff
2026-03-19 13:03:03|claude|sonnet|4|JSON_VERIFIED||313|b2031442-bd73-43ee-80e1-0be58ba96bc8
2026-03-19 13:03:03|claude|sonnet|4|QUESTION|1|313|b2031442-bd73-43ee-80e1-0be58ba96bc8
2026-03-19 13:03:03|claude|sonnet|4|JSON_SAVED||313|b2031442-bd73-43ee-80e1-0be58ba96bc8
2026-03-19 13:03:03|claude|sonnet|4|QUESTION_ADVANCE||314|f75d2fd8-5e9e-426a-b44c-2d8329983431
2026-03-19 13:03:48|claude|sonnet|6|JSON_VERIFIED||339|e038bd41-02d5-4392-bf3f-481987301848
2026-03-19 13:03:48|claude|sonnet|6|QUESTION|1|339|e038bd41-02d5-4392-bf3f-481987301848
2026-03-19 13:03:48|claude|sonnet|6|JSON_SAVED||339|e038bd41-02d5-4392-bf3f-481987301848
2026-03-19 13:03:48|claude|sonnet|6|QUESTION_ADVANCE||340|b31c78ee-ebb6-4b26-a7ee-5ddf5a8da944
2026-03-19 13:04:05|claude|sonnet|5|JSON_VERIFIED||326|5918d81c-0a3b-4cba-b0d0-75f53973f830
2026-03-19 13:04:05|claude|sonnet|5|QUESTION|1|326|5918d81c-0a3b-4cba-b0d0-75f53973f830
2026-03-19 13:04:05|claude|sonnet|5|JSON_SAVED||326|5918d81c-0a3b-4cba-b0d0-75f53973f830
2026-03-19 13:04:05|claude|sonnet|5|QUESTION_ADVANCE||327|9216c92b-eab2-4b5c-9099-a39e1a7465f5
2026-03-19 13:39:41|claude|sonnet|4|QUESTION_SENT||314|f75d2fd8-5e9e-426a-b44c-2d8329983431
