example_id|uid|norm_type|norm_number|act|article|point|date|occurrence_count|total_files|models
367|324d0e6c-de6e-4b1f-8f91-3008e03c4d21|общий||Конституция|43|||1|2|qwen
367|324d0e6c-de6e-4b1f-8f91-3008e03c4d21|общий|273-ФЗ|ФЗ|5||29.12.2012|1|2|qwen
367|324d0e6c-de6e-4b1f-8f91-3008e03c4d21|специальный|273-ФЗ|ФЗ|67||29.12.2012|1|2|qwen
367|324d0e6c-de6e-4b1f-8f91-3008e03c4d21|специальный|236|Приказ Минпросвещения России от 15.05.2020 № 236||9|15.05.2020|1|2|qwen
367|324d0e6c-de6e-4b1f-8f91-3008e03c4d21|специальный|236|Приказ Минпросвещения России от 15.05.2020 № 236||10|15.05.2020|1|2|qwen
367|324d0e6c-de6e-4b1f-8f91-3008e03c4d21|специальный|181-ФЗ|ФЗ|19||24.11.1995|1|2|qwen
367|324d0e6c-de6e-4b1f-8f91-3008e03c4d21|общий||КАС|218|||1|2|qwen
367|324d0e6c-de6e-4b1f-8f91-3008e03c4d21|общий||КАС|219|||1|2|qwen
367|324d0e6c-de6e-4b1f-8f91-3008e03c4d21|общий|273-ФЗ|ФЗ|79||29.12.2012|1|2|gemini
367|324d0e6c-de6e-4b1f-8f91-3008e03c4d21|специальный|442|Приказ Министерства просвещения РФ 'Об утверждении Порядка и условий осуществления перевода обучающихся из одной организации, осуществляющей образовательную деятельность по образовательным программам дошкольного образования, в другие организации...'||4|31.07.2020|1|2|gemini
367|324d0e6c-de6e-4b1f-8f91-3008e03c4d21|общий|236|Приказ Министерства просвещения РФ 'Об утверждении Порядка приема на обучение по образовательным программам дошкольного образования'||8|15.05.2020|1|2|gemini
