example_id|uid|norm_type|norm_number|act|article|point|date|occurrence_count|total_files|models
579|84f4ad2f-03cf-44bb-9f62-c8aab5773b3d|специальный|132-ФЗ|ФЗ|9||24.11.1996|2|2|gemini;qwen
579|84f4ad2f-03cf-44bb-9f62-c8aab5773b3d|специальный|2300-1|Закон РФ|15||07.02.1992|2|2|gemini;qwen
579|84f4ad2f-03cf-44bb-9f62-c8aab5773b3d|специальный|2300-1|Закон РФ|29||07.02.1992|1|2|qwen
579|84f4ad2f-03cf-44bb-9f62-c8aab5773b3d|общий||ГК|15|||1|2|qwen
579|84f4ad2f-03cf-44bb-9f62-c8aab5773b3d|общий||ГК|779|||1|2|qwen
579|84f4ad2f-03cf-44bb-9f62-c8aab5773b3d|специальный|2300-1|Закон РФ|17||07.02.1992|1|2|qwen
579|84f4ad2f-03cf-44bb-9f62-c8aab5773b3d|общий||ГПК|131|||1|2|qwen
579|84f4ad2f-03cf-44bb-9f62-c8aab5773b3d|общий|2300-1|Закон РФ|29|1|07.02.1992|1|2|gemini
579|84f4ad2f-03cf-44bb-9f62-c8aab5773b3d|общий|2300-1|Закон РФ|28|5|07.02.1992|1|2|gemini
579|84f4ad2f-03cf-44bb-9f62-c8aab5773b3d|общий|2300-1|Закон РФ|13|6|07.02.1992|1|2|gemini
