example_id|uid|norm_type|norm_number|act|article|point|date|occurrence_count|total_files|models
286|b87a0210-172d-4a42-8b14-69de2f07d07b|специальный||НК|220|3||4|4|gemini;perplexity_claude_sonnet;perplexity_grok;qwen
286|b87a0210-172d-4a42-8b14-69de2f07d07b|специальный||НК|2171|3||3|4|gemini;perplexity_claude_sonnet;qwen
286|b87a0210-172d-4a42-8b14-69de2f07d07b|специальный||НК|220|1||3|4|perplexity_claude_sonnet;perplexity_grok;qwen
286|b87a0210-172d-4a42-8b14-69de2f07d07b|общий||НК|229|1||3|4|gemini;perplexity_claude_sonnet;qwen
286|b87a0210-172d-4a42-8b14-69de2f07d07b|общий||НК|220|2||3|4|gemini;perplexity_claude_sonnet;perplexity_grok
286|b87a0210-172d-4a42-8b14-69de2f07d07b|специальный||НК|2171|4||2|4|perplexity_claude_sonnet;qwen
286|b87a0210-172d-4a42-8b14-69de2f07d07b|общий||НК|228|1||2|4|perplexity_claude_sonnet;qwen
286|b87a0210-172d-4a42-8b14-69de2f07d07b|специальный||НК|2171|2||1|4|qwen
286|b87a0210-172d-4a42-8b14-69de2f07d07b|общий||НК|228|4||1|4|qwen
286|b87a0210-172d-4a42-8b14-69de2f07d07b|специальный|ЕД-7-11/913@|Приказ ФНС России|||20.10.2025|1|4|qwen
286|b87a0210-172d-4a42-8b14-69de2f07d07b|общий||НК|217|171||1|4|perplexity_grok
286|b87a0210-172d-4a42-8b14-69de2f07d07b|специальный||НК|2171|||1|4|perplexity_grok
286|b87a0210-172d-4a42-8b14-69de2f07d07b|общий||НК|229|2||1|4|perplexity_grok
286|b87a0210-172d-4a42-8b14-69de2f07d07b|специальный||НК|220|7||1|4|perplexity_claude_sonnet
286|b87a0210-172d-4a42-8b14-69de2f07d07b|специальный||НК|220|11||1|4|perplexity_claude_sonnet
286|b87a0210-172d-4a42-8b14-69de2f07d07b|специальный||НК|21410|2||1|4|perplexity_claude_sonnet
286|b87a0210-172d-4a42-8b14-69de2f07d07b|общий||НК|119|1||1|4|perplexity_claude_sonnet
