example_id|uid|norm_type|norm_number|act|article|point|date|occurrence_count|total_files|models
110|fae48529-ae81-4792-b5e3-304ba8076a6e|общий||НК|81|1||3|5|gemini;perplexity_claude_sonnet;qwen
110|fae48529-ae81-4792-b5e3-304ba8076a6e|специальный||НК|232|1||2|5|perplexity_claude_sonnet;qwen
110|fae48529-ae81-4792-b5e3-304ba8076a6e|специальный||НК|232|2||2|5|perplexity_claude_sonnet;qwen
110|fae48529-ae81-4792-b5e3-304ba8076a6e|общий||НК|229|1||2|5|perplexity_claude_sonnet;qwen
110|fae48529-ae81-4792-b5e3-304ba8076a6e|общий||НК|232|||2|5|gpt;perplexity_grok
110|fae48529-ae81-4792-b5e3-304ba8076a6e|специальный||НК|232|3||2|5|gemini;perplexity_claude_sonnet
110|fae48529-ae81-4792-b5e3-304ba8076a6e|специальный||НК|232|4||2|5|gemini;perplexity_claude_sonnet
110|fae48529-ae81-4792-b5e3-304ba8076a6e|общий||НК|78|1||2|5|gemini;perplexity_claude_sonnet
110|fae48529-ae81-4792-b5e3-304ba8076a6e|общий||НК|88|1||1|5|qwen
110|fae48529-ae81-4792-b5e3-304ba8076a6e|общий||НК|7|||1|5|gpt
110|fae48529-ae81-4792-b5e3-304ba8076a6e|общий||НК|81|||1|5|perplexity_grok
110|fae48529-ae81-4792-b5e3-304ba8076a6e|общий||НК|88|||1|5|perplexity_grok
110|fae48529-ae81-4792-b5e3-304ba8076a6e|общий||НК|7|1||1|5|perplexity_claude_sonnet
110|fae48529-ae81-4792-b5e3-304ba8076a6e|общий||НК|81|5||1|5|perplexity_claude_sonnet
110|fae48529-ae81-4792-b5e3-304ba8076a6e|общий||НК|88|2||1|5|perplexity_claude_sonnet
110|fae48529-ae81-4792-b5e3-304ba8076a6e|общий||НК|88|3||1|5|perplexity_claude_sonnet
110|fae48529-ae81-4792-b5e3-304ba8076a6e|общий||НК|228|1||1|5|perplexity_claude_sonnet
