example_id|uid|norm_type|norm_number|act|article|point|date|occurrence_count|total_files|models
79|8ab79183-c6dc-45fc-b8e7-8310af87abd1|общий||НК|219|1||5|5|gemini;gpt;perplexity_claude_sonnet;perplexity_grok;qwen
79|8ab79183-c6dc-45fc-b8e7-8310af87abd1|специальный||НК|219|2||3|5|gemini;perplexity_claude_sonnet;perplexity_grok
79|8ab79183-c6dc-45fc-b8e7-8310af87abd1|общий||НК|78|||2|5|perplexity_grok;qwen
79|8ab79183-c6dc-45fc-b8e7-8310af87abd1|специальный||НК|219|3||1|5|qwen
79|8ab79183-c6dc-45fc-b8e7-8310af87abd1|специальный||НК|219|4||1|5|qwen
79|8ab79183-c6dc-45fc-b8e7-8310af87abd1|специальный||НК|2191|1||1|5|qwen
79|8ab79183-c6dc-45fc-b8e7-8310af87abd1|общий||НК|220|1||1|5|qwen
79|8ab79183-c6dc-45fc-b8e7-8310af87abd1|специальный||НК|219|||1|5|gpt
79|8ab79183-c6dc-45fc-b8e7-8310af87abd1|специальный|458|ПП|||08.04.2020|1|5|perplexity_claude_sonnet
79|8ab79183-c6dc-45fc-b8e7-8310af87abd1|специальный|2466-р|РПП|||06.09.2021|1|5|perplexity_claude_sonnet
79|8ab79183-c6dc-45fc-b8e7-8310af87abd1|специальный|1501|ПП|||06.09.2021|1|5|perplexity_claude_sonnet
