example_id|uid|norm_type|norm_number|act|article|point|date|occurrence_count|total_files|models
184|d7877953-a2b9-4b94-816d-891c5717eed0|специальный|5-ФЗ|ФЗ|16|1|12.01.1995|2|4|gemini;gpt
184|d7877953-a2b9-4b94-816d-891c5717eed0|специальный||НК|224|||1|4|qwen
184|d7877953-a2b9-4b94-816d-891c5717eed0|специальный||НК|3611|21||1|4|qwen
184|d7877953-a2b9-4b94-816d-891c5717eed0|специальный||НК|391|||1|4|qwen
184|d7877953-a2b9-4b94-816d-891c5717eed0|специальный||НК|407|4||1|4|qwen
184|d7877953-a2b9-4b94-816d-891c5717eed0|общий|76-ФЗ|ФЗ|||27.05.1998|1|4|qwen
184|d7877953-a2b9-4b94-816d-891c5717eed0|специальный|377-ФЗ|ФЗ|||07.12.2022|1|4|qwen
184|d7877953-a2b9-4b94-816d-891c5717eed0|специальный|364-ФЗ|ФЗ|||29.09.2025|1|4|qwen
184|d7877953-a2b9-4b94-816d-891c5717eed0|специальный||ФЗ|||28.11.2025|1|4|qwen
184|d7877953-a2b9-4b94-816d-891c5717eed0|специальный|5-ФЗ|ФЗ|3||12.01.1995|1|4|gpt
184|d7877953-a2b9-4b94-816d-891c5717eed0|специальный|5-ФЗ|ФЗ|16|5|12.01.1995|1|4|gpt
184|d7877953-a2b9-4b94-816d-891c5717eed0|общий||НК|407|||1|4|gpt
184|d7877953-a2b9-4b94-816d-891c5717eed0|специальный|5-ФЗ|ФЗ|3|1|12.01.1995|1|4|gemini
184|d7877953-a2b9-4b94-816d-891c5717eed0|специальный||НК|407|1||1|4|gemini
184|d7877953-a2b9-4b94-816d-891c5717eed0|специальный||ТК|3517|||1|4|gemini
184|d7877953-a2b9-4b94-816d-891c5717eed0|специальный|377-ФЗ|ФЗ|1||07.10.2022|1|4|gemini
