example_id|uid|norm_type|norm_number|act|article|point|date|occurrence_count|total_files|models
32|a6526f59-f253-42db-980c-d202485d51da|специальный||СК|21|||4|5|gpt;perplexity_claude_sonnet;perplexity_grok;qwen
32|a6526f59-f253-42db-980c-d202485d51da|общий||ГПК|28|||3|5|gpt;perplexity_grok;qwen
32|a6526f59-f253-42db-980c-d202485d51da|специальный||ГПК|29|||3|5|gemini;gpt;perplexity_claude_sonnet
32|a6526f59-f253-42db-980c-d202485d51da|общий||ГПК|23|2||2|5|gpt;perplexity_claude_sonnet
32|a6526f59-f253-42db-980c-d202485d51da|специальный||СК|24|||2|5|gpt;perplexity_grok
32|a6526f59-f253-42db-980c-d202485d51da|общий||ГПК|23|||2|5|perplexity_claude_sonnet;perplexity_grok
32|a6526f59-f253-42db-980c-d202485d51da|специальный||ГПК|29|4||1|5|qwen
32|a6526f59-f253-42db-980c-d202485d51da|общий||ГПК|151|||1|5|qwen
32|a6526f59-f253-42db-980c-d202485d51da|общий||СК|21|1||1|5|gemini
32|a6526f59-f253-42db-980c-d202485d51da|общий||СК|24|1||1|5|gemini
32|a6526f59-f253-42db-980c-d202485d51da|общий||ГПК|24|||1|5|gemini
32|a6526f59-f253-42db-980c-d202485d51da|специальный||ГПК|23|3||1|5|perplexity_claude_sonnet
32|a6526f59-f253-42db-980c-d202485d51da|общий||СК|23|||1|5|perplexity_claude_sonnet
32|a6526f59-f253-42db-980c-d202485d51da|общий||СК|38|||1|5|perplexity_claude_sonnet
32|a6526f59-f253-42db-980c-d202485d51da|общий||ГПК|131|4||1|5|perplexity_claude_sonnet
32|a6526f59-f253-42db-980c-d202485d51da|общий||ГПК|131|6||1|5|perplexity_claude_sonnet
32|a6526f59-f253-42db-980c-d202485d51da|общий||ГПК|132|||1|5|perplexity_claude_sonnet
