example_id|uid|norm_type|norm_number|act|article|date|occurrence_count|total_files|models
623|9e8f7093-328e-42b0-8581-68163dbf01d1|специальный||КОАП|30.3||3|3|gemini;gpt;qwen
623|9e8f7093-328e-42b0-8581-68163dbf01d1|специальный||КОАП|30.1||2|3|gpt;qwen
623|9e8f7093-328e-42b0-8581-68163dbf01d1|специальный||КОАП|30.2||2|3|gpt;qwen
623|9e8f7093-328e-42b0-8581-68163dbf01d1|общий||КОАП|2.7||1|3|qwen
623|9e8f7093-328e-42b0-8581-68163dbf01d1|специальный||КОАП|30.6||1|3|qwen
623|9e8f7093-328e-42b0-8581-68163dbf01d1|специальный||КОАП|30.7||1|3|qwen
623|9e8f7093-328e-42b0-8581-68163dbf01d1|общий|1090|Правила дорожного движения Российской Федерации|12|23.10.1993|1|3|qwen
623|9e8f7093-328e-42b0-8581-68163dbf01d1|специальный|1090|Правила дорожного движения Российской Федерации|2|23.10.1993|1|3|qwen
623|9e8f7093-328e-42b0-8581-68163dbf01d1|специальный|1090|ПП|1.2|23.10.1993|1|3|gemini
623|9e8f7093-328e-42b0-8581-68163dbf01d1|общий||КОАП|24.5||1|3|gemini
623|9e8f7093-328e-42b0-8581-68163dbf01d1|общий||КОАП|1.5||1|3|gemini
