example_id|uid|norm_type|norm_number|act|article|date|occurrence_count|total_files|models
242|fde0a7ec-0e82-471d-96ec-e05f5dde8873|общий||ГК|352||5|5|gemini;gpt;perplexity_claude_sonnet;perplexity_grok;qwen
242|fde0a7ec-0e82-471d-96ec-e05f5dde8873|общий||ГК|339.1||4|5|gemini;gpt;perplexity_claude_sonnet;qwen
242|fde0a7ec-0e82-471d-96ec-e05f5dde8873|общий||ГПК|24||2|5|gemini;perplexity_claude_sonnet
242|fde0a7ec-0e82-471d-96ec-e05f5dde8873|общий||ГК|10||1|5|perplexity_claude_sonnet
242|fde0a7ec-0e82-471d-96ec-e05f5dde8873|специальный|4462-I|Основы законодательства Российской Федерации о нотариате|103.1|11.02.1993|1|5|perplexity_claude_sonnet
242|fde0a7ec-0e82-471d-96ec-e05f5dde8873|специальный|4462-I|Основы законодательства Российской Федерации о нотариате|103.3|11.02.1993|1|5|perplexity_claude_sonnet
242|fde0a7ec-0e82-471d-96ec-e05f5dde8873|специальный|4462-I|Основы законодательства Российской Федерации о нотариате|103.6|11.02.1993|1|5|perplexity_claude_sonnet
242|fde0a7ec-0e82-471d-96ec-e05f5dde8873|специальный|4462-I|Основы законодательства Российской Федерации о нотариате|103.7|11.02.1993|1|5|perplexity_claude_sonnet
242|fde0a7ec-0e82-471d-96ec-e05f5dde8873|общий||ГПК|28||1|5|perplexity_claude_sonnet
242|fde0a7ec-0e82-471d-96ec-e05f5dde8873|специальный|4462-1|Основы законодательства Российской Федерации о нотариате|103.3|11.02.1993|1|5|qwen
242|fde0a7ec-0e82-471d-96ec-e05f5dde8873|специальный|4462-1|Основы законодательства Российской Федерации о нотариате|103.2|11.02.1993|1|5|qwen
242|fde0a7ec-0e82-471d-96ec-e05f5dde8873|специальный|4462-1|Основы законодательства Российской Федерации о нотариате|103.4|11.02.1993|1|5|qwen
242|fde0a7ec-0e82-471d-96ec-e05f5dde8873|общий|4462-1|Основы законодательства Российской Федерации о нотариате|103.1|11.02.1993|1|5|gemini
242|fde0a7ec-0e82-471d-96ec-e05f5dde8873|общий||ГК|302||1|5|gpt
242|fde0a7ec-0e82-471d-96ec-e05f5dde8873|специальный|218-ФЗ|ФЗ|103|13.07.2015|1|5|perplexity_grok
242|fde0a7ec-0e82-471d-96ec-e05f5dde8873|специальный|283-ФЗ|ФЗ|14|03.08.2018|1|5|perplexity_grok
