example_id|uid|norm_type|norm_number|act|article|point|date|occurrence_count|total_files|models
73|8be5b036-af73-48a1-ad97-61b2402bed44|специальный||ЗК|3920|||3|5|gpt;perplexity_claude_sonnet;perplexity_grok
73|8be5b036-af73-48a1-ad97-61b2402bed44|специальный||ГК|449|||2|5|gpt;perplexity_claude_sonnet
73|8be5b036-af73-48a1-ad97-61b2402bed44|общий||ГК|167|||2|5|gpt;perplexity_claude_sonnet
73|8be5b036-af73-48a1-ad97-61b2402bed44|общий||ГК|222|||2|5|gpt;perplexity_claude_sonnet
73|8be5b036-af73-48a1-ad97-61b2402bed44|специальный||ЗК|3912|||2|5|perplexity_claude_sonnet;perplexity_grok
73|8be5b036-af73-48a1-ad97-61b2402bed44|специальный||ГК|552|||1|5|qwen
73|8be5b036-af73-48a1-ad97-61b2402bed44|общий||ГК|166|||1|5|qwen
73|8be5b036-af73-48a1-ad97-61b2402bed44|общий||ГК|181|1||1|5|qwen
73|8be5b036-af73-48a1-ad97-61b2402bed44|специальный|135-ФЗ|ФЗ|181||26.07.2006|1|5|qwen
73|8be5b036-af73-48a1-ad97-61b2402bed44|специальный|218-ФЗ|ФЗ|39||13.07.2015|1|5|qwen
73|8be5b036-af73-48a1-ad97-61b2402bed44|общий||ЗК|113|||1|5|gpt
73|8be5b036-af73-48a1-ad97-61b2402bed44|специальный||ЗК|393|||1|5|perplexity_grok
73|8be5b036-af73-48a1-ad97-61b2402bed44|специальный||ЗК|36|8||1|5|perplexity_grok
73|8be5b036-af73-48a1-ad97-61b2402bed44|общий||ГПК|131|||1|5|perplexity_grok
73|8be5b036-af73-48a1-ad97-61b2402bed44|общий||ГПК|132|||1|5|perplexity_grok
73|8be5b036-af73-48a1-ad97-61b2402bed44|общий||ЗК|1|1||1|5|gemini
73|8be5b036-af73-48a1-ad97-61b2402bed44|специальный||ЗК|3911|8||1|5|gemini
73|8be5b036-af73-48a1-ad97-61b2402bed44|специальный||ЗК|3920|1||1|5|gemini
73|8be5b036-af73-48a1-ad97-61b2402bed44|общий||ГК|449|1||1|5|gemini
73|8be5b036-af73-48a1-ad97-61b2402bed44|специальный||ЗК|3911|||1|5|perplexity_claude_sonnet
73|8be5b036-af73-48a1-ad97-61b2402bed44|общий||ГПК|24|1||1|5|perplexity_claude_sonnet
73|8be5b036-af73-48a1-ad97-61b2402bed44|общий||ЗК|35|4||1|5|perplexity_claude_sonnet
