example_id|uid|norm_type|norm_number|act|article|point|date|occurrence_count|total_files|models
101|3eb946c3-9626-4f86-8a3a-84bab5126186|общий||КОАП|303|||4|4|gemini;gpt;perplexity_claude_sonnet;qwen
101|3eb946c3-9626-4f86-8a3a-84bab5126186|общий||КОАП|301|||2|4|gpt;perplexity_claude_sonnet
101|3eb946c3-9626-4f86-8a3a-84bab5126186|общий||КОАП|245|1||2|4|gpt;perplexity_claude_sonnet
101|3eb946c3-9626-4f86-8a3a-84bab5126186|общий||КОАП|301|3||2|4|gemini;perplexity_claude_sonnet
101|3eb946c3-9626-4f86-8a3a-84bab5126186|общий||КОАП|245|2||2|4|gemini;perplexity_claude_sonnet
101|3eb946c3-9626-4f86-8a3a-84bab5126186|специальный||КОАП|1219|||1|4|qwen
101|3eb946c3-9626-4f86-8a3a-84bab5126186|специальный||КАС|226|||1|4|qwen
101|3eb946c3-9626-4f86-8a3a-84bab5126186|общий||КОАП|307|||1|4|gpt
101|3eb946c3-9626-4f86-8a3a-84bab5126186|специальный||КОАП|15|||1|4|gemini
101|3eb946c3-9626-4f86-8a3a-84bab5126186|специальный|45|Кодекс города Москвы об административных правонарушениях|814||21.11.2007|1|4|perplexity_claude_sonnet
101|3eb946c3-9626-4f86-8a3a-84bab5126186|общий||КОАП|29|||1|4|perplexity_claude_sonnet
101|3eb946c3-9626-4f86-8a3a-84bab5126186|общий||КОАП|307|3||1|4|perplexity_claude_sonnet
