example_id|uid|norm_type|norm_number|act|article|date|occurrence_count|total_files|models
102|7bccb284-678b-4eb1-a282-fd0f3c71994c|общий||КОАП|6.1.1||5|5|gemini;gpt;perplexity_claude_sonnet;perplexity_grok;qwen
102|7bccb284-678b-4eb1-a282-fd0f3c71994c|общий||ТК|192||4|5|gemini;gpt;perplexity_claude_sonnet;qwen
102|7bccb284-678b-4eb1-a282-fd0f3c71994c|общий||УК|116||3|5|perplexity_claude_sonnet;perplexity_grok;qwen
102|7bccb284-678b-4eb1-a282-fd0f3c71994c|общий||ТК|193||3|5|gemini;gpt;perplexity_claude_sonnet
102|7bccb284-678b-4eb1-a282-fd0f3c71994c|общий||КОАП|4.2||2|5|gemini;perplexity_claude_sonnet
102|7bccb284-678b-4eb1-a282-fd0f3c71994c|общий||ТК|21||2|5|gemini;qwen
102|7bccb284-678b-4eb1-a282-fd0f3c71994c|общий||КОАП|2.7||1|5|perplexity_claude_sonnet
102|7bccb284-678b-4eb1-a282-fd0f3c71994c|общий||КОАП|2.9||1|5|perplexity_claude_sonnet
102|7bccb284-678b-4eb1-a282-fd0f3c71994c|специальный||ТК|81||1|5|perplexity_claude_sonnet
102|7bccb284-678b-4eb1-a282-fd0f3c71994c|общий||ГК|151||1|5|qwen
102|7bccb284-678b-4eb1-a282-fd0f3c71994c|специальный||ГПК|23||1|5|qwen
102|7bccb284-678b-4eb1-a282-fd0f3c71994c|общий||УК|116.1||1|5|perplexity_grok
