example_id|uid|norm_type|norm_number|act|article|date|occurrence_count|total_files|models
92|ce8cb8d7-e5f3-4708-9a58-cab7ccc2f160|специальный||ГК|550||5|5|gemini;gpt;perplexity_claude_sonnet;perplexity_grok;qwen
92|ce8cb8d7-e5f3-4708-9a58-cab7ccc2f160|общий||ГК|549||4|5|gpt;perplexity_claude_sonnet;perplexity_grok;qwen
92|ce8cb8d7-e5f3-4708-9a58-cab7ccc2f160|специальный||ГК|551||4|5|gpt;perplexity_claude_sonnet;perplexity_grok;qwen
92|ce8cb8d7-e5f3-4708-9a58-cab7ccc2f160|специальный||ГК|554||3|5|gemini;perplexity_claude_sonnet;perplexity_grok
92|ce8cb8d7-e5f3-4708-9a58-cab7ccc2f160|специальный||ГК|555||3|5|gemini;perplexity_claude_sonnet;perplexity_grok
92|ce8cb8d7-e5f3-4708-9a58-cab7ccc2f160|общий||ГК|432||2|5|perplexity_claude_sonnet;perplexity_grok
92|ce8cb8d7-e5f3-4708-9a58-cab7ccc2f160|общий||ГК|131||2|5|gemini;gpt
92|ce8cb8d7-e5f3-4708-9a58-cab7ccc2f160|специальный|218-ФЗ|ФЗ|14|13.07.2015|1|5|perplexity_claude_sonnet
92|ce8cb8d7-e5f3-4708-9a58-cab7ccc2f160|общий||ГК|166||1|5|perplexity_claude_sonnet
92|ce8cb8d7-e5f3-4708-9a58-cab7ccc2f160|общий||ГК|421||1|5|perplexity_claude_sonnet
92|ce8cb8d7-e5f3-4708-9a58-cab7ccc2f160|общий||ГК|420||1|5|perplexity_claude_sonnet
92|ce8cb8d7-e5f3-4708-9a58-cab7ccc2f160|общий||ГК|158||1|5|perplexity_claude_sonnet
92|ce8cb8d7-e5f3-4708-9a58-cab7ccc2f160|специальный||ГК|556||1|5|perplexity_claude_sonnet
92|ce8cb8d7-e5f3-4708-9a58-cab7ccc2f160|общий||ГК|454||1|5|qwen
92|ce8cb8d7-e5f3-4708-9a58-cab7ccc2f160|специальный|218-ФЗ|ФЗ|56|13.07.2015|1|5|qwen
92|ce8cb8d7-e5f3-4708-9a58-cab7ccc2f160|специальный||ГК|558||1|5|gemini
