example_id|uid|norm_type|norm_number|act|article|date|occurrence_count|total_files|models
250|999d63ba-1150-4c74-8ecc-3bdd84088cf6|специальный||КОАП|12.10||2|5|perplexity_grok;qwen
250|999d63ba-1150-4c74-8ecc-3bdd84088cf6|специальный|1090|ПП|2.5|23.10.1993|2|5|gemini;gpt
250|999d63ba-1150-4c74-8ecc-3bdd84088cf6|специальный|1090|ПП|15|23.10.1993|2|5|gpt;perplexity_grok
250|999d63ba-1150-4c74-8ecc-3bdd84088cf6|специальный|1090|Правила дорожного движения Российской Федерации|2|23.10.1993|1|5|qwen
250|999d63ba-1150-4c74-8ecc-3bdd84088cf6|специальный|1090|Правила дорожного движения Российской Федерации|15|23.10.1993|1|5|qwen
250|999d63ba-1150-4c74-8ecc-3bdd84088cf6|общий|1090|ПП|1.3|23.10.1993|1|5|gemini
250|999d63ba-1150-4c74-8ecc-3bdd84088cf6|специальный|1090|ПП|15.2|23.10.1993|1|5|gemini
250|999d63ba-1150-4c74-8ecc-3bdd84088cf6|специальный|1090|ПП|15.4|23.10.1993|1|5|gemini
250|999d63ba-1150-4c74-8ecc-3bdd84088cf6|общий|1090|ПП|14|23.10.1993|1|5|perplexity_grok
250|999d63ba-1150-4c74-8ecc-3bdd84088cf6|общий||КОАП|12.16||1|5|perplexity_grok
