example_id|uid|norm_type|norm_number|act|article|date|occurrence_count|total_files|models
137|57d06a32-d640-4dd7-abde-90699d525f48|общий||ГК|330||2|5|gemini;gpt
137|57d06a32-d640-4dd7-abde-90699d525f48|общий||ГК|333||2|5|gemini;gpt
137|57d06a32-d640-4dd7-abde-90699d525f48|специальный||КОАП|2.6.1||1|5|qwen
137|57d06a32-d640-4dd7-abde-90699d525f48|специальный||ГК|642||1|5|qwen
137|57d06a32-d640-4dd7-abde-90699d525f48|общий||ГК|1064||1|5|qwen
137|57d06a32-d640-4dd7-abde-90699d525f48|общий||ГПК|28||1|5|qwen
137|57d06a32-d640-4dd7-abde-90699d525f48|общий||ГК|10||1|5|gemini
137|57d06a32-d640-4dd7-abde-90699d525f48|общий||ГК|401||1|5|gemini
137|57d06a32-d640-4dd7-abde-90699d525f48|общий||ГК|310||1|5|gpt
137|57d06a32-d640-4dd7-abde-90699d525f48|общий|КоАП РФ|Кодекс РФ об административных правонарушениях|2.6.1|30.12.2001|1|5|perplexity_grok
137|57d06a32-d640-4dd7-abde-90699d525f48|общий|КоАП РФ|Кодекс РФ об административных правонарушениях|1.5|30.12.2001|1|5|perplexity_grok
137|57d06a32-d640-4dd7-abde-90699d525f48|общий||ГК|309||1|5|perplexity_grok
