example_id|uid|norm_type|norm_number|act|article|date|occurrence_count|total_files|models
578|efffd06e-1924-4b55-ba90-4b8e6cb181a3|общий||ГК|1064||3|3|gemini;gpt;qwen
578|efffd06e-1924-4b55-ba90-4b8e6cb181a3|общий||ГК|1072||2|3|gemini;qwen
578|efffd06e-1924-4b55-ba90-4b8e6cb181a3|специальный|40-ФЗ|ФЗ|14|25.04.2002|1|3|qwen
578|efffd06e-1924-4b55-ba90-4b8e6cb181a3|специальный|40-ФЗ|ФЗ|14.1|25.04.2002|1|3|qwen
578|efffd06e-1924-4b55-ba90-4b8e6cb181a3|общий||ГК|196||1|3|qwen
578|efffd06e-1924-4b55-ba90-4b8e6cb181a3|специальный||ГПК|28||1|3|qwen
578|efffd06e-1924-4b55-ba90-4b8e6cb181a3|специальный|40-ФЗ|ФЗ|7|25.04.2002|1|3|gemini
578|efffd06e-1924-4b55-ba90-4b8e6cb181a3|общий||ГК|151||1|3|gemini
578|efffd06e-1924-4b55-ba90-4b8e6cb181a3|специальный||ГК|1079||1|3|gpt
578|efffd06e-1924-4b55-ba90-4b8e6cb181a3|общий||ГК|1082||1|3|gpt
578|efffd06e-1924-4b55-ba90-4b8e6cb181a3|специальный||ГК|1085||1|3|gpt
578|efffd06e-1924-4b55-ba90-4b8e6cb181a3|специальный||ГК|1100||1|3|gpt
578|efffd06e-1924-4b55-ba90-4b8e6cb181a3|специальный|40-ФЗ|ФЗ|3|25.04.2002|1|3|gpt
