example_id|uid|norm_type|norm_number|act|article|point|date|occurrence_count|total_files|models
200|5c846f36-fead-4573-a0ea-dcc7592c7910|общий||ГК|572|||2|3|perplexity_grok;qwen
200|5c846f36-fead-4573-a0ea-dcc7592c7910|специальный|214-ФЗ|ФЗ|11||30.12.2004|2|3|gemini;qwen
200|5c846f36-fead-4573-a0ea-dcc7592c7910|общий||ГК|574|||1|3|qwen
200|5c846f36-fead-4573-a0ea-dcc7592c7910|специальный||ГК|576|1||1|3|qwen
200|5c846f36-fead-4573-a0ea-dcc7592c7910|общий||НК|217|181||1|3|qwen
200|5c846f36-fead-4573-a0ea-dcc7592c7910|общий||НК|33324|5||1|3|qwen
200|5c846f36-fead-4573-a0ea-dcc7592c7910|общий||НК|33333|21||1|3|qwen
200|5c846f36-fead-4573-a0ea-dcc7592c7910|специальный||ГК|5581|||1|3|perplexity_grok
200|5c846f36-fead-4573-a0ea-dcc7592c7910|специальный|214-ФЗ|ФЗ|21||30.12.2004|1|3|perplexity_grok
200|5c846f36-fead-4573-a0ea-dcc7592c7910|общий|4462-1|Основы законодательства Российской Федерации о нотариате|43||11.02.1993|1|3|perplexity_grok
200|5c846f36-fead-4573-a0ea-dcc7592c7910|общий|218-ФЗ|ФЗ|24||13.07.2015|1|3|perplexity_grok
200|5c846f36-fead-4573-a0ea-dcc7592c7910|общий||ГК|572|1||1|3|gemini
200|5c846f36-fead-4573-a0ea-dcc7592c7910|специальный||НК|33333|1||1|3|gemini
200|5c846f36-fead-4573-a0ea-dcc7592c7910|общий||ГК|389|2||1|3|gemini
