example_id|uid|norm_type|norm_number|act|article|date|occurrence_count|total_files|models
651|e47fab04-3dbb-4177-8f42-1a62ef8f4156|специальный||ЖК|36||3|3|gemini;gpt;qwen
651|e47fab04-3dbb-4177-8f42-1a62ef8f4156|специальный|38-ФЗ|ФЗ|19|13.03.2006|3|3|gemini;gpt;qwen
651|e47fab04-3dbb-4177-8f42-1a62ef8f4156|общий||ГК|304||2|3|gemini;qwen
651|e47fab04-3dbb-4177-8f42-1a62ef8f4156|специальный||ЖК|44||2|3|gemini;gpt
651|e47fab04-3dbb-4177-8f42-1a62ef8f4156|общий||ГК|290||1|3|qwen
651|e47fab04-3dbb-4177-8f42-1a62ef8f4156|специальный||КОАП|14.3||1|3|qwen
651|e47fab04-3dbb-4177-8f42-1a62ef8f4156|общий||КОАП|7.17||1|3|gemini
651|e47fab04-3dbb-4177-8f42-1a62ef8f4156|специальный||ЖК|46||1|3|gpt
651|e47fab04-3dbb-4177-8f42-1a62ef8f4156|общий||ГК|247||1|3|gpt
651|e47fab04-3dbb-4177-8f42-1a62ef8f4156|специальный||КОАП|14.37||1|3|gpt
